SUMLEV,MUNICIPIO,NAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,001,Adjuntas Municipio,1,19483,9522,9961,1207,602,605,2519,1275,1244,1273,669,604,2020,1055,965,15132,7328,7804,14484,6976,7508,7880,3900,3980,4895,2322,2573,4981,2404,2577,2588,1195,1393,1207,602,605,1299,665,634,1528,756,772,1612,878,734,1373,700,673,1331,641,690,1186,552,634,1088,514,574,1290,615,675,1306,629,677,1287,627,660,1250,587,663,1138,561,577,878,411,467,634,297,337,475,239,236,304,135,169,297,113,184,36.0,34.7,37.1
050,001,Adjuntas Municipio,2,19483,9522,9961,1207,602,605,2519,1275,1244,1273,669,604,2020,1055,965,15132,7328,7804,14484,6976,7508,7880,3900,3980,4895,2322,2573,4981,2404,2577,2588,1195,1393,1207,602,605,1299,665,634,1528,756,772,1612,878,734,1373,700,673,1331,641,690,1186,552,634,1088,514,574,1290,615,675,1306,629,677,1287,627,660,1250,587,663,1138,561,577,878,411,467,634,297,337,475,239,236,304,135,169,297,113,184,36.0,34.7,37.1
050,001,Adjuntas Municipio,3,19471,9512,9959,1203,592,611,2500,1268,1232,1259,661,598,2022,1060,962,15150,7340,7810,14509,6991,7518,7866,3891,3975,4891,2319,2572,4978,2398,2580,2618,1214,1404,1203,592,611,1281,658,623,1525,759,766,1594,861,733,1381,711,670,1325,639,686,1190,557,633,1089,511,578,1287,612,675,1298,629,669,1286,618,668,1262,599,663,1132,552,580,890,421,469,642,301,341,478,242,236,304,133,171,304,117,187,36.1,34.8,37.3
050,001,Adjuntas Municipio,4,19297,9441,9856,1175,565,610,2402,1234,1168,1208,628,580,2005,1063,942,15119,7341,7778,14512,7014,7498,7729,3827,3902,4818,2292,2526,4975,2396,2579,2714,1263,1451,1175,565,610,1214,635,579,1490,755,735,1512,798,714,1399,737,662,1281,621,660,1186,571,615,1088,500,588,1263,600,663,1269,627,642,1292,600,692,1298,634,664,1116,535,581,942,452,490,677,314,363,479,245,234,299,129,170,317,123,194,36.7,35.4,37.9
050,001,Adjuntas Municipio,5,19116,9339,9777,1122,539,583,2304,1191,1113,1188,597,591,1978,1056,922,15084,7307,7777,14502,7012,7490,7574,3755,3819,4718,2252,2466,4994,2411,2583,2812,1293,1519,1122,539,583,1178,617,561,1436,724,712,1461,768,693,1395,735,660,1238,599,639,1186,577,609,1089,498,591,1205,578,627,1260,622,638,1310,607,703,1302,631,671,1122,551,571,969,451,518,714,327,387,487,244,243,313,144,169,329,127,202,37.4,36.1,38.5
050,001,Adjuntas Municipio,6,19022,9321,9701,1087,549,538,2261,1159,1102,1138,567,571,1938,1031,907,15103,7331,7772,14536,7046,7490,7431,3688,3743,4621,2225,2396,5029,2424,2605,2948,1366,1582,1087,549,538,1187,603,584,1340,691,649,1425,732,693,1385,731,654,1208,598,610,1180,571,609,1101,499,602,1132,557,575,1278,610,668,1329,631,698,1280,624,656,1142,559,583,1011,484,527,734,341,393,513,244,269,337,161,176,353,136,217,38.1,36.8,39.2
050,001,Adjuntas Municipio,7,18798,9183,9615,1008,505,503,2191,1117,1074,1114,561,553,1880,989,891,15056,7285,7771,14485,7000,7485,7241,3577,3664,4532,2173,2359,5037,2429,2608,3036,1409,1627,1008,505,503,1198,607,591,1278,656,622,1357,683,674,1352,721,631,1170,582,588,1171,561,610,1107,508,599,1084,522,562,1254,599,655,1332,644,688,1276,611,665,1175,575,600,1034,501,533,765,361,404,527,239,288,347,164,183,363,144,219,38.9,37.7,39.9
050,001,Adjuntas Municipio,8,18565,9051,9514,961,483,478,2103,1052,1051,1080,547,533,1805,950,855,14952,7231,7721,14421,6969,7452,7078,3484,3594,4463,2130,2333,5020,2423,2597,3133,1466,1667,961,483,478,1155,570,585,1218,625,593,1322,662,660,1293,692,601,1159,577,582,1146,541,605,1107,514,593,1051,498,553,1243,598,645,1291,628,663,1273,614,659,1213,583,630,1062,513,549,785,375,410,549,253,296,374,181,193,363,144,219,39.7,38.6,40.5
050,001,Adjuntas Municipio,9,18304,8904,9400,908,456,452,2016,1007,1009,1014,517,497,1728,886,842,14871,7180,7691,14366,6924,7442,6908,3401,3507,4412,2121,2291,4995,2411,2584,3231,1506,1725,908,456,452,1118,537,581,1144,593,551,1284,652,632,1212,628,584,1177,600,577,1091,514,577,1101,522,579,1043,485,558,1216,582,634,1254,622,632,1281,596,685,1244,611,633,1038,496,542,840,405,435,583,275,308,387,185,202,383,145,238,40.5,39.5,41.3
050,001,Adjuntas Municipio,10,17934,8737,9197,824,420,404,1939,962,977,956,493,463,1637,840,797,14724,7125,7599,14215,6862,7353,6698,3297,3401,4314,2076,2238,4929,2380,2549,3335,1566,1769,824,420,404,1052,505,547,1096,569,527,1219,615,604,1165,606,559,1160,589,571,1039,490,549,1082,519,563,1033,478,555,1152,557,595,1238,612,626,1292,602,690,1247,609,638,1041,512,529,873,417,456,614,294,320,396,185,211,411,158,253,41.5,40.6,42.3
