SEX,AGE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
0,0,45231,45265,43461,40559,39416,37039,34755,31895,29031,25071,20493,21459,20074,19616
0,1,43448,43456,43797,42560,39442,38384,35766,33469,30552,27545,22743,20597,20942,21057
0,2,44172,44175,43887,42955,41525,38482,37180,34569,32215,29155,25342,22868,20881,20224
0,3,45552,45560,45114,43070,41969,40609,37315,36043,33384,30882,27054,25463,23236,22498
0,4,46353,46357,46060,44317,42135,41084,39474,36232,34907,32098,28858,27174,25612,25095
0,5,46730,46732,46542,45283,43417,41287,39977,38428,35133,33664,30134,28975,27341,26801
0,6,45780,45786,45934,45784,44423,42600,40206,38963,37357,33919,31748,30253,29008,28596
0,7,46608,46612,46323,45182,44959,43635,41542,39211,37914,36160,32037,31863,30362,29866
0,8,48340,48343,47832,45579,44382,44197,42604,40559,38173,36735,34301,32153,31636,31465
0,9,52546,52547,51423,47081,44798,43638,43189,41622,39531,36998,34885,34416,32412,31749
0,10,53810,53811,53420,50660,46308,44066,42646,42203,40589,38361,35147,35000,34250,34002
0,11,50865,50869,51523,52636,49888,45574,43084,41655,41169,39414,36508,35259,34749,34580
0,12,54239,54241,53312,50710,51853,49144,44592,42083,40611,39992,37555,36617,35274,34830
0,13,54419,54423,54284,52461,49906,51088,48153,43571,41025,39419,38113,37662,36548,36180
0,14,55238,55242,54930,53378,51614,49105,50077,47106,42488,39812,37504,38221,37461,37209
0,15,56421,56425,56007,53974,52480,50772,48057,48993,45987,41227,37830,37617,37720,37753
0,16,56797,56801,56570,54972,53014,51576,49665,46927,47815,44669,39147,37946,37331,37127
0,17,56746,56751,56605,55457,53927,52027,50411,48467,45676,46415,42476,39258,37886,37433
0,18,56508,56529,56410,55411,54322,52864,50775,49129,47153,44195,44088,42595,39689,38728
0,19,57787,57814,57307,55144,54176,53188,51540,49430,47738,45588,41752,44201,42574,42035
0,20,58205,58240,57921,55975,53826,52962,51786,50148,47974,46103,43020,41862,43188,43627
0,21,53104,53136,54198,56558,54612,52551,51497,50329,48639,46285,43453,43128,41721,41255
0,22,51426,51445,51640,52819,55132,53307,51047,50017,48775,46899,43579,43558,42781,42524
0,23,49734,49744,49930,50227,51375,53796,51749,49527,48434,46988,44131,43690,43146,42967
0,24,48381,48392,48476,48514,48780,50033,52196,50210,47937,46626,44167,44245,43375,43088
0,25,47898,47902,47776,47051,47071,47437,48411,50626,48596,46120,43770,44278,43788,43625
0,26,47430,47433,47303,46353,45603,45728,45800,46845,49004,46751,43244,43878,43708,43651
0,27,48710,48711,48151,45915,44953,44285,44080,44224,45205,47150,43875,43369,43280,43251
0,28,49673,49673,49203,46794,44548,43661,42672,42518,42596,43365,44263,43988,43048,42737
0,29,50448,50448,50036,47877,45472,43286,42071,41122,40895,40749,40510,44375,43604,43348
0,30,52456,52459,51757,48752,46600,44244,41715,40536,39530,39101,37933,40628,42958,43728
0,31,48057,48060,48958,50537,47534,45401,42747,40232,38987,37776,36366,38030,39505,39993
0,32,50181,50181,49470,47808,49387,46412,43950,41319,38749,37312,35149,36469,37176,37410
0,33,49068,49068,49175,48358,46684,48292,45039,42599,39908,37151,34824,35247,35728,35887
0,34,48411,48411,48423,48109,47310,45667,46994,43762,41267,38392,34807,34909,34740,34683
0,35,48506,48506,48342,47431,47114,46326,44421,45786,42507,39842,36175,34887,34506,34380
0,36,46930,46930,47194,47385,46457,46202,45172,43283,44587,41138,37755,36214,34824,34364
0,37,47091,47093,46935,46290,46510,45617,45101,44087,42118,43298,39132,37788,36231,35716
0,38,48767,48769,48241,46076,45430,45728,44569,44064,42990,40885,41396,39174,37775,37312
0,39,49976,49978,49569,47421,45266,44662,44710,43558,43015,41779,39036,41412,39381,38709
0,40,49378,49378,49436,48794,46635,44541,43679,43723,42540,41842,39971,39056,40472,40940
0,41,46709,46709,47283,48677,48031,45924,43591,42724,42738,41410,40096,39967,38929,38586
0,42,47147,47147,46946,46553,47948,47370,45009,42676,41776,41648,39734,40101,39656,39509
0,43,48576,48576,48131,46257,45864,47295,46485,44103,41750,40725,40044,39737,39669,39646
0,44,50448,50448,49892,47484,45586,45256,46437,45643,43208,40740,39195,40030,39482,39300
0,45,50839,50840,50659,49284,46819,44979,44432,45619,44768,42249,39265,39153,39501,39616
0,46,50041,50042,50155,50032,48611,46195,44176,43649,44784,43814,40843,39249,38869,38743
0,47,49446,49446,49504,49560,49368,48009,45421,43413,42865,43896,42459,40796,39323,38835
0,48,48327,48327,48515,48937,48919,48763,47230,44679,42658,41987,42625,42382,40887,40392
0,49,49333,49335,48997,47959,48293,48315,48027,46530,43969,41817,40768,42564,42125,41980
0,50,49879,49879,49662,48423,47359,47706,47602,47351,45835,43194,40670,40686,41803,42172
0,51,47023,47026,47652,49117,47830,46788,47034,46974,46661,45084,42105,40568,40383,40321
0,52,47146,47147,47021,47084,48507,47250,46137,46404,46321,45904,44052,41967,40621,40176
0,53,48079,48081,47748,46452,46475,47934,46643,45520,45782,45604,44899,43912,42173,41598
0,54,47694,47696,47692,47142,45846,45919,47319,46032,44912,45093,44627,44746,43840,43539
0,55,47104,47106,47142,47075,46502,45275,45295,46747,45417,44217,44150,44430,44390,44376
0,56,44977,44977,45388,46503,46474,45934,44695,44724,46145,44732,43283,43951,44047,44078
0,57,44115,44116,44211,44710,45872,45929,45322,44121,44071,45451,43815,43035,43451,43588
0,58,43586,43586,43614,43522,44100,45338,45298,44738,43512,43372,44513,43598,42887,42651
0,59,43825,43827,43635,42909,42890,43583,44719,44719,44091,42803,42417,44274,43498,43241
0,60,45045,45048,44628,42960,42241,42385,42913,44145,44076,43402,41834,42138,43486,43932
0,61,42350,42351,42912,43909,42320,41763,41747,42303,43470,43340,42432,41547,41719,41776
0,62,44583,44584,43908,42219,43239,41833,41122,41071,41638,42713,42361,42100,41423,41199
0,63,44103,44103,44086,43148,41577,42713,41149,40437,40372,40844,41651,42030,41746,41653
0,64,41996,42002,42385,43355,42485,41014,42008,40444,39725,39588,39832,41261,41500,41580
0,65,38755,38758,39414,41626,42606,41919,40314,41265,39679,38885,38503,39455,40442,40769
0,66,36567,36569,36971,38680,40918,41951,41144,39542,40458,38838,37774,38070,38705,38916
0,67,35507,35511,35641,36221,37941,40294,41165,40305,38702,39544,37683,37305,37478,37535
0,68,33580,33582,33920,34864,35510,37320,39508,40277,39444,37760,38352,37254,36870,36743
0,69,31002,31005,31468,33133,34065,34780,36546,38638,39386,38503,36551,37869,36927,36615
0,70,30819,30822,30707,30689,32368,33374,33983,35670,37748,38366,37318,36042,36894,37176
0,71,28301,28306,28758,29941,29922,31661,32564,33102,34796,36803,37141,36767,35716,35368
0,72,26941,26944,27114,27988,29154,29212,30859,31730,32245,33890,35651,36557,36159,36027
0,73,25628,25630,25792,26323,27167,28408,28366,29990,30819,31297,32799,35039,35574,35751
0,74,24562,24565,24645,25004,25481,26404,27603,27513,29112,29845,30155,32208,33765,34281
0,75,23833,23836,23829,23764,24206,24625,25597,26765,26631,28167,28791,29479,31006,31511
0,76,20523,20525,21183,22965,22920,23414,23797,24703,25945,25729,27116,28072,28548,28705
0,77,20097,20101,20017,20312,22053,22066,22567,22939,23898,25077,24713,26388,27065,27290
0,78,18666,18667,18804,19095,19454,21177,21228,21724,22079,22967,24010,23998,25146,25526
0,79,17621,17624,17666,17884,18194,18668,20252,20319,20889,21128,21869,23296,23242,23224
0,80,14960,14962,15419,16678,17001,17285,17783,19329,19458,20011,20034,21098,22163,22515
0,81,14875,14876,14669,14589,15762,16084,16406,16924,18438,18540,18892,19270,19967,20197
0,82,13620,13621,13717,13741,13766,14816,15210,15459,16006,17489,17476,18119,18380,18467
0,83,12300,12303,12435,12749,12765,12936,13896,14255,14558,15040,16377,16701,17110,17245
0,84,11245,11247,11327,11582,11782,11829,12131,12909,13328,13571,14035,15500,15769,15858
0,85,62596,62608,63388,65416,68044,70887,73730,76038,79808,83336,86163,91062,95596,97098
0,999,3725789,3726157,3721525,3678732,3634488,3593077,3534874,3473232,3406672,3325284,3193344,3193553,3167851,3159343
1,0,23077,23088,22247,20694,20326,19112,17938,16362,14899,12996,10491,10962,10342,10137
1,1,22217,22221,22382,21801,20039,19814,18403,17200,15579,14102,11744,10533,10701,10757
1,2,22533,22533,22403,21972,21199,19568,19137,17717,16470,14832,12924,11801,10703,10340
1,3,23443,23448,23171,22012,21400,20755,18911,18485,17025,15760,13712,12981,11949,11607
1,4,23903,23905,23745,22794,21473,20975,20119,18293,17824,16348,14693,13769,13029,12784
1,5,23928,23928,23877,23387,22282,21072,20355,19522,17655,17173,15318,14748,13861,13568
1,6,23495,23499,23569,23532,22907,21904,20468,19781,18903,17024,16179,15374,14751,14545
1,7,23956,23960,23813,23232,23078,22550,21315,19907,19178,18285,16054,16233,15432,15167
1,8,24757,24758,24529,23481,22803,22737,21979,20764,19315,18573,17331,16108,16041,16019
1,9,27092,27093,26482,24198,23071,22476,22179,21427,20176,18713,17622,17385,16261,15889
1,10,27558,27559,27414,26143,23796,22747,21924,21622,20834,19572,17759,17676,17285,17156
1,11,26135,26137,26460,27063,25741,23466,22195,21358,21023,20220,18605,17813,17533,17440
1,12,27469,27471,27099,26089,26656,25403,22909,21620,20750,20404,19243,18656,17839,17569
1,13,27856,27858,27716,26708,25670,26302,24833,22321,21005,20122,19413,19298,18626,18404
1,14,28271,28272,28112,27293,26268,25295,25716,24234,21694,20369,19119,19467,19142,19034
1,15,29152,29156,28870,27669,26826,25866,24689,25102,23595,21040,19340,19174,19191,19196
1,16,28824,28828,28834,28385,27171,26391,25223,24060,24436,22919,19971,19396,19018,18893
1,17,28857,28860,28760,28302,27832,26683,25713,24558,23352,23723,21803,20021,19330,19102
1,18,28863,28871,28768,28185,27690,27302,25939,25004,23825,22596,22536,21854,20252,19722
1,19,29157,29166,28985,28149,27505,27110,26512,25194,24219,23023,21352,22577,21792,21532
1,20,29425,29444,29251,28333,27413,26867,26259,25738,24371,23372,21698,21391,22038,22252
1,21,26883,26899,27414,28588,27565,26729,25977,25447,24879,23501,22011,21734,21213,21040
1,22,25605,25616,25804,26743,27762,26870,25814,25157,24559,23978,22120,22041,21553,21392
1,23,24730,24735,24813,25113,25913,27042,25928,24968,24261,23639,22572,22155,21815,21703
1,24,23934,23940,23986,24128,24280,25204,26086,25076,24083,23343,22215,22609,22006,21807
1,25,23577,23581,23525,23302,23301,23570,24254,25217,24173,23172,21911,22245,22247,22247
1,26,23050,23052,23036,22840,22471,22598,22622,23393,24314,23250,21738,21934,21887,21871
1,27,23821,23822,23481,22374,22038,21786,21657,21755,22479,23376,21809,21778,21614,21560
1,28,23809,23809,23670,22841,21586,21367,20876,20794,20842,21545,21913,21841,21508,21398
1,29,24321,24321,24057,23044,22085,20939,20477,20017,19876,19893,20096,21945,21577,21455
1,30,25323,25326,24954,23437,22307,21454,20047,19616,19116,18957,18456,20136,21201,21553
1,31,23122,23124,23552,24361,22732,21681,20622,19216,18734,18213,17555,18487,19440,19755
1,32,24161,24161,23788,22996,23702,22162,20870,19829,18377,17879,16875,17591,17983,18113
1,33,23813,23813,23793,23240,22343,23135,21410,20133,19041,17559,16622,16908,17166,17251
1,34,23289,23289,23324,23263,22635,21828,22423,20722,19396,18279,16390,16648,16598,16581
1,35,23228,23228,23156,22824,22688,22132,21153,21778,20035,18693,17187,16421,16364,16345
1,36,22355,22355,22490,22665,22265,22230,21514,20548,21130,19356,17678,17178,16388,16126
1,37,22917,22917,22701,22024,22167,21842,21645,20944,19918,20503,18385,17678,17090,16896
1,38,23481,23482,23272,22266,21528,21789,21292,21115,20360,19324,19601,18381,17655,17415
1,39,24000,24002,23814,22856,21818,21160,21260,20767,20559,19778,18447,19588,18483,18117
