SUMLEV,MUNICIPIO,NAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,001,Adjuntas Municipio,1,19483,9522,9961,1207,602,605,2519,1275,1244,1273,669,604,2020,1055,965,15132,7328,7804,14484,6976,7508,7880,3900,3980,4895,2322,2573,4981,2404,2577,2588,1195,1393,1207,602,605,1299,665,634,1528,756,772,1612,878,734,1373,700,673,1331,641,690,1186,552,634,1088,514,574,1290,615,675,1306,629,677,1287,627,660,1250,587,663,1138,561,577,878,411,467,634,297,337,475,239,236,304,135,169,297,113,184,36.0,34.7,37.1
050,001,Adjuntas Municipio,2,19483,9522,9961,1207,602,605,2519,1275,1244,1273,669,604,2020,1055,965,15132,7328,7804,14484,6976,7508,7880,3900,3980,4895,2322,2573,4981,2404,2577,2588,1195,1393,1207,602,605,1299,665,634,1528,756,772,1612,878,734,1373,700,673,1331,641,690,1186,552,634,1088,514,574,1290,615,675,1306,629,677,1287,627,660,1250,587,663,1138,561,577,878,411,467,634,297,337,475,239,236,304,135,169,297,113,184,36.0,34.7,37.1
050,001,Adjuntas Municipio,3,19472,9513,9959,1202,590,612,2500,1268,1232,1259,661,598,2022,1060,962,15152,7343,7809,14511,6994,7517,7865,3890,3975,4890,2318,2572,4982,2402,2580,2617,1214,1403,1202,590,612,1281,658,623,1525,759,766,1594,861,733,1381,711,670,1324,638,686,1189,556,633,1089,511,578,1288,613,675,1300,631,669,1287,619,668,1263,600,663,1132,552,580,890,421,469,642,301,341,478,242,236,304,133,171,303,117,186,36.1,34.8,37.2
050,001,Adjuntas Municipio,4,19297,9438,9859,1180,566,614,2402,1234,1168,1208,628,580,2005,1063,942,15114,7337,7777,14507,7010,7497,7727,3825,3902,4816,2290,2526,4974,2395,2579,2712,1262,1450,1180,566,614,1214,635,579,1490,755,735,1512,798,714,1399,737,662,1281,621,660,1184,569,615,1088,500,588,1263,600,663,1269,627,642,1291,599,692,1298,634,664,1116,535,581,942,452,490,677,314,363,479,245,234,299,129,170,315,122,193,36.7,35.4,37.8
050,001,Adjuntas Municipio,5,19116,9337,9779,1128,541,587,2304,1191,1113,1188,597,591,1978,1056,922,15078,7303,7775,14496,7008,7488,7570,3752,3818,4714,2249,2465,4994,2411,2583,2810,1292,1518,1128,541,587,1178,617,561,1436,724,712,1461,768,693,1395,735,660,1238,599,639,1184,575,609,1087,497,590,1205,578,627,1260,622,638,1309,606,703,1303,632,671,1122,551,571,969,451,518,714,327,387,487,244,243,313,144,169,327,126,201,37.4,36.1,38.5
050,001,Adjuntas Municipio,6,19021,9322,9699,1088,549,539,2261,1159,1102,1138,567,571,1938,1031,907,15101,7332,7769,14534,7047,7487,7428,3686,3742,4618,2223,2395,5032,2428,2604,2946,1365,1581,1088,549,539,1187,603,584,1340,691,649,1425,732,693,1385,731,654,1208,598,610,1178,569,609,1099,498,601,1133,558,575,1280,612,668,1329,631,698,1281,626,655,1142,559,583,1011,484,527,734,341,393,513,244,269,337,161,176,351,135,216,38.1,36.8,39.2
050,001,Adjuntas Municipio,7,18795,9181,9614,1013,507,506,2193,1118,1075,1115,562,553,1880,989,891,15045,7279,7766,14474,6994,7480,7238,3575,3663,4528,2170,2358,5034,2428,2606,3032,1407,1625,1013,507,506,1200,608,592,1278,656,622,1358,684,674,1352,721,631,1170,582,588,1169,559,610,1105,507,598,1084,522,562,1253,599,654,1330,642,688,1277,612,665,1174,575,599,1034,501,533,765,361,404,526,239,287,347,164,183,360,142,218,38.9,37.6,39.9
050,001,Adjuntas Municipio,8,18568,9053,9515,965,485,480,2105,1053,1052,1081,548,533,1806,951,855,14949,7230,7719,14417,6967,7450,7079,3485,3594,4462,2129,2333,5016,2422,2594,3133,1465,1668,965,485,480,1158,571,587,1217,625,592,1323,663,660,1294,693,601,1160,577,583,1145,540,605,1105,512,593,1052,500,552,1243,598,645,1286,625,661,1275,616,659,1212,583,629,1064,513,551,785,375,410,548,253,295,374,181,193,362,143,219,39.6,38.5,40.5
050,001,Adjuntas Municipio,9,18306,8909,9397,908,457,451,2018,1007,1011,1014,518,496,1729,887,842,14872,7184,7688,14366,6927,7439,6909,3402,3507,4411,2120,2291,4996,2415,2581,3230,1505,1725,908,457,451,1121,537,584,1142,593,549,1285,653,632,1213,629,584,1179,601,578,1091,514,577,1099,520,579,1042,485,557,1218,584,634,1252,622,630,1282,597,685,1244,612,632,1040,496,544,839,405,434,582,275,307,387,185,202,382,144,238,40.5,39.5,41.3
050,001,Adjuntas Municipio,10,17935,8737,9198,832,425,407,1940,962,978,955,493,462,1638,841,797,14717,7120,7597,14208,6857,7351,6696,3295,3401,4312,2073,2239,4924,2378,2546,3334,1565,1769,832,425,407,1055,505,550,1094,569,525,1219,616,603,1165,606,559,1161,589,572,1040,490,550,1080,517,563,1031,477,554,1151,556,595,1235,611,624,1291,601,690,1247,610,637,1043,512,531,872,417,455,614,294,320,395,185,210,410,157,253,41.5,40.5,42.3
